pixel_x,pixel_y,norm_x,norm_y,norm_z
634,128,0.49599024653434753,0.17790424823760986,-0.06977895647287369
635,126,0.4963609278202057,0.17630809545516968,-0.06827390193939209
636,126,0.49695348739624023,0.1763722449541092,-0.07040410488843918
636,127,0.4976549744606018,0.17727388441562653,-0.06756069511175156
636,127,0.4974786639213562,0.17742927372455597,-0.0680529922246933
637,128,0.49776753783226013,0.1779714673757553,-0.06860841065645218
636,127,0.49707546830177307,0.1770699918270111,-0.07120273262262344
631,127,0.493150919675827,0.17746880650520325,-0.06788623332977295
623,125,0.4872163236141205,0.17476162314414978,-0.06602535396814346
609,122,0.47639697790145874,0.17047558724880219,-0.06562391668558121
595,124,0.46523138880729675,0.1722537875175476,-0.058135226368904114
580,125,0.45316004753112793,0.17414937913417816,-0.060421522706747055
564,126,0.441032737493515,0.17630700767040253,-0.05845552310347557
548,126,0.42855721712112427,0.1759183555841446,-0.05667509883642197
536,125,0.41882485151290894,0.17397022247314453,-0.05821201950311661
525,121,0.41045281291007996,0.16910815238952637,-0.05827828869223595
518,118,0.4048566520214081,0.16456887125968933,-0.05877254530787468
503,119,0.3930895924568176,0.16599224507808685,-0.055398594588041306
498,120,0.389289528131485,0.16794881224632263,-0.06123479828238487
496,121,0.3881130814552307,0.16865438222885132,-0.06267987936735153
495,123,0.3872103989124298,0.17155557870864868,-0.06155601888895035
494,128,0.38598209619522095,0.17783385515213013,-0.06193998456001282
493,133,0.3853578567504883,0.18497781455516815,-0.06470368057489395
490,142,0.3829593062400818,0.19854463636875153,-0.06709381192922592
486,156,0.3800159692764282,0.2170388400554657,-0.06834940612316132
485,169,0.37958037853240967,0.2356255054473877,-0.06823092699050903
486,184,0.3800230026245117,0.25638145208358765,-0.06776109337806702
486,205,0.37981265783309937,0.2852917015552521,-0.06869354099035263
483,222,0.3778884708881378,0.30878782272338867,-0.07106197625398636
482,239,0.3767186403274536,0.3323608934879303,-0.07279523462057114
481,257,0.37591782212257385,0.3579255938529968,-0.07455576956272125
482,274,0.37704336643218994,0.38151413202285767,-0.07702840864658356
483,292,0.37743014097213745,0.4061017632484436,-0.07551632821559906
483,312,0.3778957724571228,0.4337197542190552,-0.0736498013138771
481,326,0.37640148401260376,0.4532138705253601,-0.07674236595630646
476,347,0.3725929260253906,0.48198920488357544,-0.07828123867511749
472,366,0.3695308566093445,0.5087512731552124,-0.08018004149198532
470,383,0.3676305115222931,0.5327255129814148,-0.07991664856672287
463,405,0.36228615045547485,0.5635641813278198,-0.08419181406497955
456,423,0.3562967777252197,0.5886451601982117,-0.081523098051548
452,439,0.35320591926574707,0.6110208630561829,-0.08383642882108688
449,453,0.3510727286338806,0.629810631275177,-0.08143607527017593
444,464,0.3470478057861328,0.6446776390075684,-0.07834213972091675
439,473,0.3434680700302124,0.6576381921768188,-0.08588026463985443
438,481,0.34268414974212646,0.6687864065170288,-0.08074644207954407
436,483,0.3409041166305542,0.6716670393943787,-0.07833223789930344
433,486,0.3386945128440857,0.6763143539428711,-0.0823737233877182
435,486,0.34036391973495483,0.675028920173645,-0.07915443181991577
434,483,0.33981794118881226,0.6710017323493958,-0.07746385782957077
432,479,0.33767032623291016,0.666615903377533,-0.08302908390760422
431,471,0.3374176025390625,0.6553863883018494,-0.078099325299263
444,436,0.34712010622024536,0.6061021685600281,-0.07769109308719635
445,425,0.34773147106170654,0.5913509130477905,-0.0802350714802742
447,414,0.34953993558883667,0.5759372711181641,-0.08136873692274094
450,402,0.35196277499198914,0.5591307878494263,-0.07925242185592651
452,390,0.35382017493247986,0.5425077676773071,-0.07941389828920364
455,379,0.3561580777168274,0.5267987251281738,-0.08191429823637009
458,367,0.3584798574447632,0.5100978016853333,-0.07989826798439026
463,356,0.3620246946811676,0.4953598976135254,-0.07727471739053726
467,346,0.3650928735733032,0.48139500617980957,-0.07289376109838486
472,335,0.36882489919662476,0.46552610397338867,-0.07007242739200592
473,324,0.3700558543205261,0.45005810260772705,-0.07254943251609802
475,313,0.37126705050468445,0.43581873178482056,-0.06839431077241898
474,304,0.37101805210113525,0.4232022166252136,-0.06874176114797592
476,293,0.3722371459007263,0.40793856978416443,-0.06981693208217621
477,283,0.37305182218551636,0.39387503266334534,-0.06940062344074249
479,277,0.3743534982204437,0.38552963733673096,-0.07167814671993256
480,273,0.37536051869392395,0.37927186489105225,-0.07400916516780853
482,271,0.37713852524757385,0.37659019231796265,-0.06835607439279556
483,270,0.37748751044273376,0.37618452310562134,-0.0680270716547966
483,271,0.3773690462112427,0.3767773509025574,-0.06991662085056305
484,273,0.3786225914955139,0.37956416606903076,-0.07056550681591034
487,273,0.3810381293296814,0.38016417622566223,-0.07166621834039688
490,274,0.3831932842731476,0.3809828758239746,-0.07097131758928299
495,274,0.3869120478630066,0.3813067674636841,-0.07155896723270416
500,273,0.3911179304122925,0.37959086894989014,-0.07304858416318893
505,273,0.3947295546531677,0.37939131259918213,-0.07104752957820892
512,273,0.40046924352645874,0.37946105003356934,-0.07027453929185867
520,274,0.40697813034057617,0.38071009516716003,-0.06845539808273315
529,273,0.41371190547943115,0.38037124276161194,-0.06739722192287445
541,272,0.42307308316230774,0.3784116506576538,-0.06860008090734482
556,272,0.4346797466278076,0.37781885266304016,-0.07313094288110733
568,270,0.4438173472881317,0.3762097954750061,-0.07163088768720627
580,270,0.45366838574409485,0.37567031383514404,-0.07144840061664581
592,271,0.46294331550598145,0.37732723355293274,-0.07215764373540878
605,273,0.472836971282959,0.3798021078109741,-0.07202061265707016
618,274,0.4830787479877472,0.38110214471817017,-0.07100372761487961
626,274,0.4894586205482483,0.3809022903442383,-0.07432625442743301
633,275,0.4952451288700104,0.3820025324821472,-0.07494007796049118
640,275,0.5001016855239868,0.3833202123641968,-0.0797317624092102
645,276,0.504085898399353,0.38423699140548706,-0.07791538536548615
649,276,0.5070856809616089,0.3838375508785248,-0.07536689192056656
650,276,0.5078819990158081,0.38377225399017334,-0.07563403248786926
650,276,0.5085282325744629,0.38448596000671387,-0.07834780216217041
650,277,0.5079879760742188,0.38564974069595337,-0.07476348429918289
648,278,0.5068910717964172,0.3868047297000885,-0.07587756216526031
647,276,0.5055102109909058,0.38434284925460815,-0.0740082859992981
