pixel_x,pixel_y,norm_x,norm_y,norm_z
666,554,0.5203365683555603,0.770811915397644,-0.06811791658401489
665,555,0.5200863480567932,0.7714001536369324,-0.0686846524477005
666,556,0.5203472971916199,0.7732780575752258,-0.06850910931825638
662,557,0.5175689458847046,0.7748391628265381,-0.06935511529445648
664,558,0.5190520286560059,0.7759363055229187,-0.07239487022161484
662,558,0.5178847908973694,0.7761397361755371,-0.07114990800619125
663,558,0.5185554623603821,0.7758399844169617,-0.07761810719966888
664,555,0.5189427137374878,0.7720386385917664,-0.07484910637140274
663,552,0.5180032253265381,0.7668420672416687,-0.07571159303188324
665,543,0.5197126269340515,0.7547043561935425,-0.07448863983154297
665,531,0.5201626420021057,0.7380545139312744,-0.07247626781463623
664,516,0.5190883874893188,0.7172317504882812,-0.06760095059871674
663,497,0.5181081295013428,0.6907673478126526,-0.055807631462812424
661,479,0.5168706774711609,0.6666607856750488,-0.052153076976537704
661,461,0.5169578194618225,0.640302300453186,-0.05185483768582344
659,439,0.5154089331626892,0.6102867126464844,-0.05360458791255951
663,367,0.5182742476463318,0.510642945766449,-0.05520050227642059
657,337,0.5138712525367737,0.469199001789093,-0.04833134636282921
656,320,0.5126850605010986,0.4454421401023865,-0.051927559077739716
656,308,0.5128009915351868,0.4281632900238037,-0.053495071828365326
655,298,0.5123745799064636,0.4142136573791504,-0.05130140483379364
654,290,0.511285126209259,0.4038473665714264,-0.049102433025836945
655,285,0.5119251608848572,0.39682549238204956,-0.053633853793144226
656,282,0.5132304430007935,0.39303043484687805,-0.0499783493578434
657,284,0.5137739777565002,0.39456501603126526,-0.0510670505464077
658,286,0.5144456028938293,0.39774245023727417,-0.05186304822564125
660,290,0.5161694884300232,0.4035342335700989,-0.05082465708255768
661,297,0.5169575810432434,0.4130517840385437,-0.05785267427563667
665,305,0.5195382237434387,0.42409202456474304,-0.05600923299789429
669,313,0.5228851437568665,0.4356071650981903,-0.05440346151590347
673,322,0.5262415409088135,0.4472556710243225,-0.056353796273469925
678,332,0.5303430557250977,0.46165895462036133,-0.054118912667036057
685,344,0.5356865525245667,0.4786938428878784,-0.05277132987976074
716,396,0.5598616003990173,0.5505321025848389,-0.058146558701992035
725,409,0.5668007731437683,0.5692488551139832,-0.05373399704694748
734,421,0.5738116502761841,0.5858458280563354,-0.054345712065696716
743,433,0.5808711051940918,0.6023544669151306,-0.057161472737789154
751,446,0.5872237086296082,0.6201133131980896,-0.051437437534332275
755,453,0.5904877781867981,0.6295150518417358,-0.05278782173991203
764,458,0.5970749855041504,0.6369211077690125,-0.059464916586875916
766,459,0.598834216594696,0.6375725865364075,-0.056561022996902466
768,457,0.6003813743591309,0.6357089877128601,-0.060779619961977005
770,455,0.6017686724662781,0.6328895092010498,-0.05917549505829811
776,448,0.6062630414962769,0.622583270072937,-0.05900941044092178
775,439,0.6058065891265869,0.6110555529594421,-0.0658857449889183
779,430,0.6087551116943359,0.5978109240531921,-0.06351955980062485
782,418,0.6115801930427551,0.5807532668113708,-0.0626446083188057
788,404,0.615814208984375,0.5617192387580872,-0.06083798035979271
795,388,0.621356725692749,0.5397419929504395,-0.06065664067864418
816,340,0.637682318687439,0.47224074602127075,-0.04818922281265259
825,318,0.644747257232666,0.4417174160480499,-0.054582379758358
829,305,0.6477916836738586,0.42471951246261597,-0.06327361613512039
834,293,0.6519027352333069,0.4076997637748718,-0.05621547996997833
838,283,0.6547964811325073,0.3934599757194519,-0.06417451798915863
839,275,0.6554713249206543,0.3830542266368866,-0.062216464430093765
842,269,0.6583245396614075,0.374002605676651,-0.0600297749042511
842,266,0.6583579778671265,0.36966291069984436,-0.05558198317885399
842,264,0.658454179763794,0.3668659031391144,-0.05709308758378029
842,265,0.6581329703330994,0.368661105632782,-0.06562549620866776
844,266,0.6594619750976562,0.3705267012119293,-0.06643792986869812
844,273,0.6596542596817017,0.3797762393951416,-0.0681372582912445
845,279,0.6606179475784302,0.3879944682121277,-0.06579442322254181
847,286,0.662038266658783,0.3981916010379791,-0.06991037726402283
849,295,0.6635469794273376,0.4104899764060974,-0.06605671346187592
859,340,0.6715548038482666,0.4731786251068115,-0.06692520529031754
860,354,0.6725493669509888,0.4921640157699585,-0.06255298852920532
859,369,0.671768069267273,0.5135501623153687,-0.050579532980918884
867,383,0.677963137626648,0.5321340560913086,-0.05642017349600792
869,400,0.6795914173126221,0.5561918616294861,-0.0618826188147068
865,418,0.6760587096214294,0.5811057090759277,-0.056191202253103256
871,434,0.6809518933296204,0.6032622456550598,-0.06125826761126518
869,451,0.6792526245117188,0.6265410780906677,-0.062336355447769165
895,524,0.6998673677444458,0.7281128764152527,-0.08594237267971039
895,532,0.6997129321098328,0.7390892505645752,-0.0764123871922493
