pixel_x,pixel_y,norm_x,norm_y,norm_z
716,236,0.5594425797462463,0.3285623788833618,-0.0691027119755745
708,238,0.5537233948707581,0.3315220773220062,-0.05264199897646904
700,241,0.5472555160522461,0.33477795124053955,-0.04772600904107094
707,242,0.5524858832359314,0.3364412784576416,-0.046858590096235275
717,242,0.5603786110877991,0.33741021156311035,-0.04546048864722252
730,241,0.5705152153968811,0.3351519703865051,-0.046784669160842896
747,241,0.5841529369354248,0.3360883593559265,-0.04321473091840744
764,239,0.5971984267234802,0.33293646574020386,-0.04246674105525017
795,234,0.6217629909515381,0.3253880739212036,-0.04503870755434036
808,231,0.6315943598747253,0.3211829960346222,-0.04649221524596214
817,226,0.6384407877922058,0.3151257336139679,-0.049065593630075455
822,222,0.6422683000564575,0.3091622591018677,-0.04830363765358925
820,218,0.6412433385848999,0.303864061832428,-0.04245215281844139
814,215,0.6366726756095886,0.29911208152770996,-0.040836866945028305
817,216,0.6385072469711304,0.3009914457798004,-0.038529492914676666
806,213,0.62981778383255,0.29658037424087524,-0.04260997846722603
798,211,0.6234583258628845,0.29359719157218933,-0.04182380437850952
784,211,0.6130158305168152,0.29368579387664795,-0.04645705223083496
769,210,0.6009673476219177,0.2928577959537506,-0.04977528378367424
752,215,0.5881449580192566,0.2990593910217285,-0.04776599258184433
728,229,0.5692209601402283,0.3181590735912323,-0.0534847266972065
719,237,0.5618749856948853,0.32995110750198364,-0.05437386408448219
714,247,0.557896077632904,0.34417393803596497,-0.057606857270002365
708,256,0.5535030364990234,0.35677915811538696,-0.05791411176323891
707,267,0.5529170632362366,0.37136006355285645,-0.056890152394771576
705,280,0.5513746738433838,0.38963639736175537,-0.05523594468832016
704,280,0.5502133369445801,0.38905322551727295,-0.05410469323396683
710,293,0.554797351360321,0.40732240676879883,-0.05545760318636894
713,305,0.5573428869247437,0.4238279461860657,-0.05532946065068245
719,316,0.5618197917938232,0.43895822763442993,-0.05913678556680679
725,325,0.566996157169342,0.4525614082813263,-0.05693931132555008
734,334,0.5737394094467163,0.4648938775062561,-0.06027630344033241
757,344,0.5920824408531189,0.47911790013313293,-0.05928163602948189
774,347,0.6050214767456055,0.4830288290977478,-0.05801697447896004
787,350,0.6151930689811707,0.486828476190567,-0.05715179070830345
802,347,0.6270902156829834,0.4830716848373413,-0.0587007962167263
813,346,0.6357188820838928,0.4810289144515991,-0.05953460559248924
827,342,0.6462629437446594,0.47581684589385986,-0.06013039872050285
827,344,0.6468575596809387,0.47795289754867554,-0.06176954507827759
837,339,0.6540007591247559,0.47102153301239014,-0.061361316591501236
845,335,0.6604650616645813,0.4652881622314453,-0.062077268958091736
853,330,0.6670228838920593,0.4596819281578064,-0.058581091463565826
858,329,0.6708923578262329,0.4576549530029297,-0.05608811229467392
863,325,0.6748948097229004,0.4522508382797241,-0.058212969452142715
867,321,0.6777166128158569,0.4465656876564026,-0.059771228581666946
