pixel_x,pixel_y,norm_x,norm_y,norm_z
668,241,0.5222265720367432,0.3355748653411865,-0.06030939146876335
667,241,0.5216103792190552,0.3360254764556885,-0.061068374663591385
667,242,0.5214370489120483,0.3370125889778137,-0.06013800576329231
666,241,0.5209664106369019,0.3357670307159424,-0.061353519558906555
669,244,0.522861897945404,0.3401927351951599,-0.05595216155052185
675,240,0.5277125239372253,0.3342059254646301,-0.05771113932132721
681,236,0.5326297283172607,0.3289993107318878,-0.055517930537462234
687,227,0.5372024178504944,0.31640005111694336,-0.05636291578412056
694,220,0.5422828197479248,0.3069067895412445,-0.05263148993253708
695,207,0.5434321165084839,0.28862816095352173,-0.058429937809705734
695,206,0.5433987379074097,0.28685566782951355,-0.05777234956622124
698,193,0.545760989189148,0.26899850368499756,-0.05323062837123871
698,178,0.5460790395736694,0.24801230430603027,-0.05643244832754135
697,164,0.544593095779419,0.22798345983028412,-0.051010988652706146
693,148,0.5416836738586426,0.20662032067775726,-0.05042946711182594
690,125,0.5392269492149353,0.17394238710403442,-0.05395704507827759
683,100,0.5339798331260681,0.13933253288269043,-0.051888156682252884
686,91,0.5362030863761902,0.12651659548282623,-0.05080403760075569
685,83,0.5358947515487671,0.11590644717216492,-0.05306281894445419
685,85,0.535821259021759,0.11839601397514343,-0.05306665599346161
689,93,0.5384179353713989,0.12954692542552948,-0.05137842148542404
690,109,0.5397927761077881,0.1521315723657608,-0.05472150444984436
691,110,0.5405265688896179,0.1529303342103958,-0.05076134577393532
691,134,0.5403573513031006,0.18685661256313324,-0.046403661370277405
695,150,0.5433663129806519,0.20868469774723053,-0.05130871757864952
693,174,0.5416861772537231,0.24193249642848969,-0.07138694077730179
696,205,0.543853223323822,0.2850185036659241,-0.060003697872161865
690,240,0.539089024066925,0.3336983919143677,-0.05544770509004593
687,309,0.5367529392242432,0.4291686415672302,-0.05566879361867905
688,343,0.5381372570991516,0.47700855135917664,-0.06690197438001633
687,369,0.5370962023735046,0.5127906203269958,-0.0762670636177063
683,405,0.5338001847267151,0.5634796023368835,-0.0716259703040123
681,454,0.5322486162185669,0.6311612725257874,-0.057927489280700684
678,487,0.5299221873283386,0.6774329543113708,-0.06555131822824478
678,487,0.5297098159790039,0.6771454811096191,-0.06236628070473671
673,511,0.5261688232421875,0.7104665637016296,-0.062353555113077164
667,536,0.5216338634490967,0.7455039024353027,-0.05012761428952217
664,563,0.5193700194358826,0.7819730639457703,-0.056456442922353745
662,572,0.5177156925201416,0.7945780158042908,-0.05637095868587494
666,573,0.5210922360420227,0.7960208058357239,-0.06798386573791504
665,564,0.5198773145675659,0.7841231822967529,-0.06390565633773804
665,549,0.519732654094696,0.7626117467880249,-0.06535471230745316
671,532,0.5249403119087219,0.7395826578140259,-0.06702898442745209
695,652,0.5435101389884949,0.9064962863922119,-0.05852589011192322
675,487,0.5277215838432312,0.6774113178253174,-0.0809110626578331
679,468,0.531174898147583,0.6513240337371826,-0.0690733790397644
682,470,0.5334111452102661,0.653639554977417,-0.05852827802300453
684,447,0.5347351431846619,0.6214755773544312,-0.06169692799448967
684,419,0.5344692468643188,0.583020806312561,-0.0651727244257927
685,397,0.5351566076278687,0.5521625280380249,-0.06213265284895897
687,374,0.5369074940681458,0.5206489562988281,-0.06334435939788818
690,352,0.5397089123725891,0.48959654569625854,-0.06711094081401825
693,322,0.5417606234550476,0.44840019941329956,-0.05884231999516487
698,307,0.5460512042045593,0.4275459051132202,-0.051657792180776596
702,293,0.5488440990447998,0.40756797790527344,-0.05804300680756569
708,283,0.5536421537399292,0.39340123534202576,-0.05326800048351288
720,269,0.5632468461990356,0.3748905062675476,-0.05447188392281532
730,262,0.57081139087677,0.3642616868019104,-0.05262122303247452
729,263,0.5697974562644958,0.36544573307037354,-0.050287049263715744
742,256,0.580244243144989,0.3563729524612427,-0.051331132650375366
756,254,0.5910429358482361,0.3539149761199951,-0.04841995611786842
771,249,0.6026713252067566,0.3465079069137573,-0.05371089279651642
782,252,0.6116426587104797,0.3501816689968109,-0.053767189383506775
794,259,0.620865523815155,0.35974156856536865,-0.05628548935055733
807,276,0.6305266618728638,0.384344220161438,-0.05665678530931473
809,290,0.6323853731155396,0.4037110209465027,-0.057284366339445114
806,310,0.6302416324615479,0.43144822120666504,-0.06173675134778023
803,329,0.627529501914978,0.4579923748970032,-0.061198242008686066
797,343,0.6229792237281799,0.4769399166107178,-0.06938706338405609
791,353,0.6179755926132202,0.49055761098861694,-0.07306133955717087
791,352,0.6182970404624939,0.4902665615081787,-0.06859728693962097
781,368,0.6106666922569275,0.512033224105835,-0.06592832505702972
770,377,0.6022073030471802,0.5244773626327515,-0.06946531683206558
759,384,0.5933641791343689,0.5334380865097046,-0.06662041693925858
749,389,0.5857380628585815,0.5416635274887085,-0.06486465781927109
739,392,0.5774034261703491,0.5456555485725403,-0.0701688826084137
720,400,0.5629470348358154,0.5563184022903442,-0.06817882508039474
710,402,0.5553779006004333,0.5586901307106018,-0.06521471589803696
704,405,0.5500608682632446,0.5631822943687439,-0.06334566324949265
699,405,0.5464065670967102,0.5634757280349731,-0.06798703223466873
695,405,0.5430086255073547,0.563344419002533,-0.06878328323364258
692,405,0.5406685471534729,0.5629013776779175,-0.06841380894184113
691,406,0.5405371785163879,0.5648027658462524,-0.06564635783433914
689,405,0.5390419363975525,0.563739001750946,-0.06944359093904495
687,405,0.5368809700012207,0.5630958676338196,-0.06550151854753494
687,403,0.5369524359703064,0.5610816478729248,-0.06528529524803162
687,402,0.537115752696991,0.5583922863006592,-0.0639461949467659
