pixel_x,pixel_y,norm_x,norm_y,norm_z
761,153,0.5945796370506287,0.2134147584438324,-0.04596460983157158
754,144,0.5897199511528015,0.2013576626777649,-0.04557465761899948
751,138,0.5870060324668884,0.19227689504623413,-0.04707362875342369
747,133,0.5838485360145569,0.18573316931724548,-0.04553128033876419
742,128,0.5799897909164429,0.17886829376220703,-0.04246467724442482
735,123,0.5745473504066467,0.17175744473934174,-0.044774483889341354
728,119,0.5689376592636108,0.16535638272762299,-0.039859477430582047
719,116,0.5617991089820862,0.16140185296535492,-0.03673568740487099
709,112,0.5543422698974609,0.15592502057552338,-0.039276283234357834
699,112,0.5466012954711914,0.1558937281370163,-0.03873354569077492
660,129,0.5159209370613098,0.1797754466533661,-0.04811481758952141
652,137,0.5101270079612732,0.19133716821670532,-0.053730543702840805
645,147,0.5042095184326172,0.20543718338012695,-0.05284006893634796
638,158,0.49895578622817993,0.2198798954486847,-0.05015094578266144
635,168,0.49610307812690735,0.2343919426202774,-0.04821156710386276
633,180,0.49482178688049316,0.25060588121414185,-0.048885527998209
633,189,0.4946424067020416,0.26251333951950073,-0.051692042499780655
634,199,0.49546441435813904,0.2773415446281433,-0.05395840108394623
639,207,0.4998537003993988,0.28779399394989014,-0.05320430174469948
646,214,0.504902720451355,0.29723507165908813,-0.055043723434209824
656,217,0.5125322937965393,0.30277252197265625,-0.05558735877275467
665,222,0.5198461413383484,0.30928152799606323,-0.057275280356407166
673,222,0.5265213251113892,0.3092072606086731,-0.05437522381544113
682,224,0.5328609347343445,0.311966210603714,-0.053284741938114166
690,224,0.5397981405258179,0.3112500309944153,-0.05328402668237686
697,224,0.5450709462165833,0.3119913339614868,-0.05473979189991951
706,221,0.5520026683807373,0.30833056569099426,-0.050266753882169724
712,218,0.5563574433326721,0.3035493493080139,-0.05025371536612511
720,216,0.5631992816925049,0.3009966015815735,-0.04853405803442001
724,213,0.5657833814620972,0.29656025767326355,-0.04967092350125313
730,209,0.5708474516868591,0.2911170721054077,-0.04722791165113449
734,203,0.573549211025238,0.2828395664691925,-0.050048042088747025
738,199,0.5773234963417053,0.2776133418083191,-0.049841657280921936
741,195,0.5794916749000549,0.27092722058296204,-0.051134806126356125
749,175,0.5855252146720886,0.24435165524482727,-0.05217455327510834
748,171,0.5851181149482727,0.23769284784793854,-0.05173058435320854
749,167,0.5857316851615906,0.23315706849098206,-0.051382679492235184
749,162,0.5854000449180603,0.22589294612407684,-0.04839418828487396
748,159,0.5850725173950195,0.2211073637008667,-0.049339525401592255
749,154,0.5859280824661255,0.21451285481452942,-0.04924280568957329
749,150,0.5854293704032898,0.20898297429084778,-0.05020979419350624
749,147,0.5851864814758301,0.20534135401248932,-0.050370506942272186
750,145,0.585986316204071,0.20182117819786072,-0.04945102706551552
748,143,0.5848966240882874,0.19867882132530212,-0.046981289982795715
748,140,0.5851554274559021,0.1949809193611145,-0.04866233840584755
749,141,0.5852741599082947,0.19668178260326385,-0.0487084798514843
749,141,0.5854606032371521,0.19594942033290863,-0.048592459410429
748,145,0.585135817527771,0.20140340924263,-0.04909650608897209
749,148,0.5857471227645874,0.20633438229560852,-0.05255388841032982
749,152,0.5859238505363464,0.21219699084758759,-0.051796864718198776
750,159,0.5862699151039124,0.2213708609342575,-0.053216371685266495
750,166,0.5866591930389404,0.23140011727809906,-0.05175916105508804
749,173,0.5856708884239197,0.24059167504310608,-0.05168795585632324
742,210,0.580144464969635,0.29169684648513794,-0.058179862797260284
