pixel_x,pixel_y,norm_x,norm_y,norm_z
818,186,0.6390883922576904,0.2595515549182892,-0.06753294914960861
817,186,0.6383559107780457,0.2584891617298126,-0.0679975375533104
816,185,0.6380512118339539,0.25790947675704956,-0.06830942630767822
817,185,0.6385038495063782,0.2573171854019165,-0.0675881952047348
817,184,0.6388164758682251,0.255858451128006,-0.06837861984968185
822,182,0.6425490379333496,0.2534788250923157,-0.06919750571250916
822,181,0.6422810554504395,0.25164663791656494,-0.06678012013435364
834,174,0.6517726182937622,0.24259904026985168,-0.06491994112730026
833,172,0.6514323949813843,0.2400267869234085,-0.05941108241677284
856,168,0.6689989566802979,0.23458203673362732,-0.06152065843343735
857,166,0.669788122177124,0.2305666208267212,-0.06442607194185257
875,169,0.6836482286453247,0.23498287796974182,-0.07619907706975937
878,169,0.6859592199325562,0.2356046736240387,-0.07198023051023483
893,177,0.6982818841934204,0.2469656616449356,-0.08051161468029022
894,180,0.6985239386558533,0.2504938840866089,-0.0810859203338623
895,193,0.6998245716094971,0.268438458442688,-0.07915347069501877
894,195,0.6985043287277222,0.27120161056518555,-0.07273384928703308
888,207,0.6938152313232422,0.2883228659629822,-0.08345238864421844
887,209,0.6934252381324768,0.29086053371429443,-0.07706467807292938
874,223,0.6835474967956543,0.31019914150238037,-0.07952506840229034
875,221,0.6843547224998474,0.30784302949905396,-0.07879570871591568
857,232,0.6699312329292297,0.32319170236587524,-0.07670213282108307
857,231,0.670183539390564,0.32127732038497925,-0.07494465261697769
844,238,0.6599727272987366,0.3317755162715912,-0.0740065798163414
845,235,0.6605494022369385,0.32722094655036926,-0.07406710833311081
845,235,0.6603691577911377,0.32719913125038147,-0.07629142701625824
845,234,0.6605246067047119,0.32636842131614685,-0.07762472331523895
859,234,0.6712988615036011,0.3253374993801117,-0.07642721384763718
855,233,0.6681429743766785,0.3240959346294403,-0.0671057477593422
877,229,0.6855059266090393,0.318958580493927,-0.08027928322553635
875,231,0.6836304664611816,0.32168206572532654,-0.07911060005426407
894,234,0.6989636421203613,0.32538777589797974,-0.08618225157260895
895,234,0.6992855072021484,0.32553035020828247,-0.08462736755609512
903,242,0.7056630849838257,0.3364540636539459,-0.0860743522644043
903,242,0.706222653388977,0.33691221475601196,-0.08653096854686737
905,257,0.7077473402023315,0.3582358658313751,-0.08629599213600159
905,256,0.7071744799613953,0.3565804362297058,-0.08847308903932571
899,273,0.7023979425430298,0.38025474548339844,-0.08562396466732025
898,271,0.7020951509475708,0.37741148471832275,-0.08422479033470154
886,291,0.6927645206451416,0.4043732285499573,-0.09380490332841873
884,289,0.6908347010612488,0.4016362428665161,-0.09450365602970123
869,299,0.6796033978462219,0.41585487127304077,-0.08177240937948227
867,297,0.6778001189231873,0.4134465157985687,-0.08491067588329315
839,307,0.6557565927505493,0.42734596133232117,-0.08774342387914658
842,311,0.6584466695785522,0.4327471852302551,-0.0886697769165039
812,304,0.6348371505737305,0.42256712913513184,-0.10265547037124634
814,306,0.6363946199417114,0.4263545870780945,-0.10653778165578842
799,297,0.624549925327301,0.41318634152412415,-0.0978052169084549
798,295,0.6239644885063171,0.4109087586402893,-0.09795501083135605
790,285,0.6172550916671753,0.3959440290927887,-0.0940796285867691
791,283,0.6184723377227783,0.393263578414917,-0.09346307069063187
788,272,0.6158180236816406,0.3783123195171356,-0.09228162467479706
792,272,0.6187691688537598,0.3789174556732178,-0.0923943966627121
